Codigo;Author;Title;DOI;Venue;Year;"Community of Focus -
Blind or Visual Impaired";Community of Focus - d/Deaf or hard of hearing;Community of Focus - Motor or physical impairment;Community of Focus - Neurodivergent;Community of Focus - Intellectual or developmental disabilities;Community of Focus - General disability;Community of Focus - Other;Issue Addressed - Increase digital access/ease of use;Issue Addressed - Increase physical access;Issue Addressed - Increase understanding of users;Issue Addressed - Support communication;Issue Addressed - Support collaboration;Issue Addressed - Other;Issue Addressed - Other;Contribution Type - Empirical;Contribution Type - Artifact;Contribution Type - Methodological;Contribution Type - Theoretical;Contribution Type - Dataset;Contribution Type - Literature Review;Contribution Type - Opinion;Research Method - Controlled experiment;Research Method - Survey;Research Method - Usability testing;Research Method - Interviews;Research Method - Case Study;Research Method - Focus groups;Research Method - Field study;Research Method - Workshop / design;Research Method - Other;Participant Groups - Not Applicable;Participant Groups - Professionals with disabilities;Participant Groups - Professionals with disabilities - Qtd;Participant Groups - Professionals without disabilities;Participant Groups - Professionals without disabilities - Qtd;Participant Groups - Organizations;Participant Groups - Organizations - Qtd;Participant Groups - Support staff;Participant Groups - Support staff - Qtd;Participant Groups - Other;Participant Groups - Other - Qtd;Workplace - Not Mentioned;Workplace - Co-located;Workplace - Hybrid;Workplace - Full Remote;Workplace - Other;PwD as Co Author - Not Mentioned;PwD as Co Author - PwD as Co-Author
A100;Joe Hutchinson, Oussama Metatla;An initial investigation into non-visual code structure overviews through speech, non-speech and spearcons;https://doi.org/10.1145/3170427.3188696;Conference on Human Factors in Computing Systems (CHI);2018;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;7;No;;No;;No;;Yes - Non-Impaired CS Students;10;Yes;No;No;No;No;Yes;No
A114;"Ameer Armaly; Paige Rodeghero; Collin McMillan";AudioHighlight: Code Skimming for Blind Programmers;https://doi.org/10.1109/ICSME.2018.00030;International Conference on Software Maintenance and Evolution (ICSME);2018;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;10;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A13;Huh, M., & Seo, J. Y. (2022). A Duoethnographic Study of a Mixed-Ability Team in a Collaborative Group Programming Project. In A. Weinberger, W. Chen, D. Hernandez-Leo, & B. Chen (Eds.), International Collaboration toward Educational Innovation for All: Overarching Research, Development, and Practices - 15th International Conference on Computer-Supported Collaborative Learning, CSCL 2022 (pp. 471-474). (Proceedings of International Conference of the Learning Sciences, ICLS). International Society of the Learning Sciences (ISLS).;A Duoethnographic Study of a Mixed-Ability Team in a Collaborative Group Programming Project;https://repository.isls.org/handle/1/8337;Computer-Supported Collaborative Learning Conference (CSCL);2022;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes - Ethnography;No;Yes;1;Yes;1;No;;No;;No;;No;No;No;Yes;No;No;Yes
A136;Luque, L., Veriscimo, E.S., Pereira, G.C., Filgueiras, L.V.L;Can we work together? on the inclusion of blind people in UML model-based tasks;https://doi.org/10.1007/978-3-319-05095-9_20;Cambridge Workshop on Universal Access and Assistive Technology (CWUAAT);2023;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;1;Yes;2;Yes;20;No;;No;;Yes;No;No;No;No;Yes;No
A145;Venkatesh Potluri, Priyan Vaithilingam, Suresh Iyengar, Y. Vidya, Manohar Swaminathan, Gopal Srinivasa;CodeTalk: Improving Programming Environment Accessibility for Visually Impaired Developers;https://doi.org/10.1145/3173574.3174192;Conference on Human Factors in Computing Systems (CHI);2018;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;26;No;;No;;No;;No;;Yes;No;No;No;No;No;Yes
A146;Venkatesh Potluri, Maulishree Pandey, Andrew Begel, Michael Barnett, and Scott Reitherman;CodeWalk: Facilitating Shared Awareness in Mixed-Ability Collaborative Software Development. In Proceedings of the 24th International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS '22). Association for Computing Machinery, New York, NY, USA, Article 20, 1–16. https://doi.org/10.1145/3517428.3544812;https://doi.org/10.1145/3517428.3544812;ACM SIGACCESS Conference on Computers (ASSETS);2022;Yes;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;Yes;No;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;10;No;;No;;No;;No;;No;No;No;Yes;No;No;Yes
A147;JooYoung Seo and Megan Rogge;Coding Non-Visually in Visual Studio Code: Collaboration Towards Accessible Development Environment for Blind Programmers. In Proceedings of the 25th International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS '23). Association for Computing Machinery, New York, NY, USA, Article 102, 1–9. https://doi.org/10.1145/3597638.3614550;https://doi.org/10.1145/3597638.3614550 ;ACM SIGACCESS Conference on Computers (ASSETS);2023;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;1;Yes;1;No;;No;;No;;Yes;No;No;No;No;No;Yes
A214;Khaled Albusays, Stephanie Ludi;Eliciting programming challenges faced by developers with visual impairments: exploratory study;https://doi.org/10.1145/2897586.2897616;International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE);2016;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;69;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A241;"Earl W. Huff; Kwajo Boateng; Makayla Moster; Paige Rodeghero; Julian Brinkley";Examining The Work Experience of Programmers with Visual Impairments;https://doi.org/10.1109/ICSME46990.2020.00077;International Conference on Software Maintenance (ICSM);2020;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;11;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A242;Stephanie Ludi, Jamie Simpson, Wil Merchant;Exploration of the use of auditory cues in code comprehension and navigation for individuals with visual impairments in a visual programming environment;https://doi.org/10.1145/2982142.2982206;ACM SIGACCESS Conference on Computers (ASSETS);2016;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;7;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
