Paper;Code;Evidency
A100;Increase digital access/ease of use;The issue of conveying quick overview of code structure remains a challenge through both modalities in part due to the linearity of presentation and the impact this has on users’ information seeking behaviours [8, 10].
A100;Increase understanding of users;More recent work, (e.g. [6, 2]), shows that alternative presentation and navigation techniques can improve non visual comprehension code. Therefore, there is a case to be made for the investigation and development of new tools and navigation approaches that may improve the experience for a visually-impaired programmer.
A114;Increase digital access/ease of use;We target the following problem: blind programmers have no way to skim code when it is presented to them on the web.
A13;Increase digital access/ease of use;We purpose of this study was to explore the practices and challenges of a mixed-ability team in a smallgroup collaborative programming project through a duoethnographic approach.
A136;Increase digital access/ease of use;this paper aims to assess the availability and accessibility of solutions for the inclusion of blind people in activities focused on the creation and editing of UML diagrams, facilitating their inclusion in computer education programs and in the software development industry
A145;Increase digital access/ease of use;These feature-rich IDEs enable developers to be more productive and efficient. Though screen readers provide basic accessibility to IDEs1, many features that make them so useful to sighted developers remain inaccessible to developers using screen readers
A145;Increase understanding of users;To go beyond the specific experiences of the two authors mentioned and to understand the spectrum of accessibility issues that arise during the complete programming cycle, we conducted a user survey which we discuss in the next section
A146;Increase digital access/ease of use;CodeWalk, an implementation of a set of features added to Microsoft’s Live Share VS Code extension that makes synchronous programming tasks accessible to BVI developers
A87;Other;The goal of this study is to examine current scholarship on the accessibility of programming languages and programming environments for people with visual impairments.
A147;Increase digital access/ease of use;We describe how the frst author, who is blind, and the second author, who is sighted, have been working together to make the open source IDE Visual Studio Code (VSCode) nonvisually accessible and what specifc accessibility features have been implemented as a result of our collaboration.
A214;Increase understanding of users;To initiate the process, we are working to understand the user population, as well as their needs, challenges, and strategies in terms of programming and related software engineering tasks. The process of elicitation was carefully designed and revised in order to accommodate both the users and the authors.
A241;Increase understanding of users;The problem we address in this paper is the lack of research focused on the workplace practices of blind or visually impaired (BVI) programmers within software development teams or organizations.
A242;Increase digital access/ease of use;"Being unable to use these visual cues, programmers with visual impairments must struggle to contend with the complexities of writing source code such as resolving syntax errors and determining nesting levels. With improved accessibility to source code, not only would more people with visual impairments be able to participate in programming. 

""Are auditory cues used in a visual programming environment effective in aiding users in navigating and understanding source code?"
