Paper;Code;Evidency
A100;Survey;We conducted email interviews with four members of the British Computing Association of the Blind (BCAB), where we asked participants who had experience in programming what they would typically search for when attempting to get an overview of a class they have not seen before.
A100;Usability testing;Thirteen participants (ages between 22-60) took part in an evaluation study
A114;Usability testing;"We compare AudioHighlight to the state of the art in code skimming represented by a previous code skimming approach called StructJumper. We also compare to the state of practice in reading code on the web as represented by GitHub
In Evaluation 1, we used the same tasks and code as the StructJumper evaluation. // In Evaluation 2, we asked the participants to read and summarize a series of classes using both AudioHighlight and StructJumper
In Evaluation 3, we compared AudioHighlight on the web to GitHub by asking participants to summarize a series of classes using both tools."
A13;Other;We used duoethnography, which is a qualitative research method in which two or more researchers provide different meanings to a common experience.
A13;Interviews;"As a mixed-ability team, we (one author is blind; the other is sighted) immersed ourselves in a collaborative programming project using a popular social coding platform (i.e., GitHub) and triangulated our self-reflexivity through cross-checking interviews."
A136;Survey;After that, to evaluate the accessibility of existing UML modeling tools, we first conducted a survey on the use of these tools by software development companies in the State of Sao Paulo/Brazil, where more than a third of all Brazilian information technology companies are based.
A136;Usability testing;The evaluations were conducted as usability experiments, with three users. One of them is blind and two are sighted.
A145;Survey;We conducted a preliminary survey with an objective to collect opinions from VI developers on IDE accessibility, with a specific focus on Microsoft Visual Studio
A145;Usability testing;The study had four major components: Participant solicitation, user study without and with CodeTalk, and post user study online survey.
A145;Interviews;Four out of the 20 participants of the survey participated in further detailed interviews.
A146;Controlled experiment;We evaluated CodeWalk in a within-subjects controlled experiment involving 10 BVI professional developers(see §5). Our results show that CodeWalk increased study participants’ awareness of their collaborator’s actions and reduced the coordination overhead required to sync on code locations.
A146;Interviews;After each condition, participants verbally responded to a 12 statement Likert-scale questionnaire (see Table 6). The questionnaire was adapted from existing scales [16, 64] and assessed participants’ opinionsregarding awareness and collaboration. Participants had to indicate on a fve pointscale whether they strongly disagreed (1) or strongly agreed (5) with the statements. The study concluded with an informal interview about participants’ experience with CodeWalk and a short questionnaire about their personal and programming background.
A147;Workshop/design;The following section describes how the authors of this paper collaborated to address this usability issue of VSCode accessibility. The co-design methodology fosters a joint creation process between the user and developer, enabling the developer to grasp the user’s requirements and, in turn, develop a product aligning with these needs
A214;Survey;The survey was taken by a total number of 69 participants, all of whom were blind developers. Nearly all 62 (89.86%) of the participants were male, 6 (0.09%) were female, and 1 participant decided not to answer
A241;Interviews;We conducted interviews to gather in-depth data about the challenges faced by blind or visually impaired (BVI) programmers at work and from their learning experiences.
A242;Survey;"Before participating in the study, users were required to complete a short preliminary survey that asked participants to provide demographic information, programming experience information, and information about the accessibility tools commonly used by the participant.

The survey at the end of each trial then asks the user questions about their overall experience with auditory cues."
A242;Usability testing;The study consists of three trials using a different type of auditory cue for each trial. Participants used their typical screen readers for all tasks. For the first test, participants were provided with a pregenerated block of source code and were thentasked with finding a specific block in the code using the auditory cues available. Participants were timed on how long it took them to find the designated code block. For the second test, participants were asked to listen to a short audio description of a set of source code. Participants then wrote down their interpretation of the source code’s structure.
A250;Controlled experiment;In this short paper an open data set is described which contains the eye tracking recordings from an experiment in which programmers with and without dyslexia reviewed and described Java code
A250;Interviews;"Each session was conducted by a single researcher
Then, the preliminary participant questionnaire was completed to collect profile information such as age, programming experience, self-assessment of energy level and, if applicable, information about their dyslexia"
A269;Usability testing;"From time to time, they provided feedback, reported bugs, and requested new features via emails. Upon receiving feedback, a bug report, or a feature request, two authors of this paper discussed how to resolve the issue gracefully and quickly deployed a solution. This cycle continued for 2 months until the prototype became stable and received encouraging feedback from the participants.

We recruited 12 BLV participants (11 males, 1 female) through local mailing lists, university mailing lists, and public posts on online groups for BLV users. Our inclusion criteria included adult BLV individuals with basic Python skills who are fuent in English."
A269;Interviews;In the end, we engaged in open-ended discussion, including their preferred editor, potential use case for each editor, usage patterns, and task performances.
A279;Interviews;Interviews were conducted with each participant, either by telephone or by video conference.
A3;Usability testing;"Each research session consisted of two sections: 1) An observational section and 2) an in-depth interview section

participants were asked to share a window on their screen over the teleconferencing software and to perform a predefned task, which required navigating online API documentation for the open-source Go programming language, to fnd a package and function given specifc criteria."
A3;Interviews;"Each research session consisted of two sections: 1) An observational section and 2) an in-depth interview section

We then used these observations to scafold a longer conversation in in-depth interviews about information seeking while engaged in professional coding, which were designed to last 60 minutes. We adopted an approach to interviewing based on the Critical Incident Technique [27]."
