Paper,Community of Focus,Code,SubCode,Other,Citation
A305,Motor/physical impairment,Assistive Technology related,Technologically Limited,Navigability,"All participants highlighted that they use speech-based tools (e.g. Talon [42], Dragon Dictate [45]) for development work and emphasized that their existing tools provide limited navigation features"
A79,Blind and/or Visual Impaired,Assistive Technology related,Time consuming,Alertability,"Although participants reported that they were proficient with screen readers, some (P3, P4, and P6) described performance issues with their assistive tech that made web development tasks like debugging difficult."
A409,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,"Another challenge mentioned by blind developers is using debugging tools, as most debugging tools do not work well with screen readers"
A409,Blind and/or Visual Impaired,Assistive Technology related,Time consuming,Navigability,"Blind developers found it difficult to search through the code to find variables or methods, especially since it requires moving the cursor to a specific line in order to have the screen reader read it aloud"
A312,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,Navigability,"Blind programmers who are using screen readers or braille displays (which convey information linearly, one line at a time) have difficulty understanding structural relationships quickly [11, 19, 23]."
A279,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,Discoverability,"However, these cues are not always accessible to screen reader users, meaning that individuals who are blind may not be benefiting from the support provided to sighted users."
A61,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,Glanceability,"Many cues about the structure of source code like indentation and nesting hierarchies are encoded visually, making it difficult for DWVI to comprehend and navigate code with screen readers efficiently"
A79,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,Many issues that blind screen reader users face when using web content stem from a lack of screen reader-compatible semantic structure and interactivity.
A241,Blind and/or Visual Impaired,Assistive Technology related,Cognitive Overload,Glanceability,"Other participants (P6, P10, P11) indicated the advantage of sighted programmers of moving through the code quicker and having less information to memorize than BVI programmers."
A305,Motor/physical impairment,Assistive Technology related,Time consuming,,"Participants also emphasized that any new approaches developed using solely voice as the primary method of interaction should be simple and intuitive “out-of-the-box”, as opposed to requiring additional configuration (which can potentially be tedious and time consuming)"
A241,Blind and/or Visual Impaired,Assistive Technology related,Time consuming,Navigability,Participants brought up the difficulty in navigating through a code base as their screen readers move primarily in a linear manner
A279,Blind and/or Visual Impaired,Assistive Technology related,Time consuming,,"Participants described the process of verifying code and content as time-consuming, as they would need to switch continuously between the code in the text editor to the browser page to ensure that all errors had been fixed. If further errors were identified, participants would often leave comments in the code to repair them at a later point in time."
A279,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,"Participants highlighted difficulties with screen readers interpreting Javascript output, making it challenging in certain instances to verify whether the scripting code which they had written was appropriate. As a result, scripting languages were often used with caution."
A312,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,Discoverability,"Prior research on blind programmers has found that the information conveyed through visual metaphors in IDEs are often not conveyed by screen readers [2], which creates challenges for blind programmers [9, 18], putting them at a disadvantage when compared to their sighted peers [7, 11]"
A409,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,"Screen readers only allow blind programmers to have access to a single line of code at a time. Therefore, to move around in the code, the programmers are limited to a few options: using the arrow keys to go through each line of code, using the outline or package explorer to navigate to a specific method and then navigating within the method line by line, or using a search mechanism"
A79,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,"Some participants (n=3) use the NVDA developer toolkit (DTK) [19] to better understand visual interfaces and the output of their CSS. NVDA DTK allows users to move through elements in the DOM using arrow keys and provides some information about the visual interface (such as their color, font, height, position of top, right, bottom, and left edges, and distance between parent elements). However, “DTK cannot access information such as CSS rules, padding, borders, or z-index” [58]"
A61,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,"Sometimes CLI commands do provide progress indication. In these cases, they try to simulate GUI-like progress indication mechanisms like progress bars (Fig.5) and spinners (Fig.6). However, screen readers do not recognize them as progress indicators and vocalize the underlying Unicode characters"
A100,Blind and/or Visual Impaired,Assistive Technology related,Time consuming,,"Text-to-speech (TTS) has been revolutionary in making computing accessible for the blind, it may be regarded as being monotonous and too slow for particular users"
A379,Other - Deaf-Blind,Assistive Technology related,Technologically Limited,,The interoperability of collaborative workplace systems with assistive technologies for deaf-blind users is limited to screen readers used with refreshable braille displays
A279,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,"the restrictive nature of screen readers can impact the process of spatially-distributing content on a graphical user interface (e.g. a web page), resulting in designs which may not look as visually-appealing as those developed by sighted developers"
A65,Blind and/or Visual Impaired,Assistive Technology related,Time consuming,,"The scarcity of documentation on accessibility of UI components meant that programmers with visual impairments often had to just “dive in and try” (T8) to assess the severity of issues across frameworks and libraries: P14: I produced a Qt 5 interface that I cannot interact with [...] after a long, long time of research, I learned about some basic things that can adjust the code to make it accessible to the screen reader."
A65,Blind and/or Visual Impaired,Assistive Technology related,Time consuming,Navigability,"They also felt that the additional lines of code made readability and navigation difficult with screen readers, especially when editing the UI"
A8,Blind and/or Visual Impaired,Assistive Technology related,Cognitive Overload,,"This line-by-line strategy is feasible, but imposes a high cognitive load on the programmer—syntax details such as whitespace and block braces are often very difficult to follow, as Stefik et al. demonstrate in multiple studies [8],[9], [10]"
A74,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,Glanceability,"Unfortunately, screen readers do not have access to a program’s structure. Tokens are read one at-a-time, and the program is broken up into nothing more than a series of lines"
A61,Blind and/or Visual Impaired,Assistive Technology related,Cognitive Overload,,"Users persevere with slow line-by-line reading, relying on their memory and experience and by being generally resilient to issues they encounter"
A61,Blind and/or Visual Impaired,Assistive Technology related,Time consuming,,"Users persevere with slow line-by-line reading, relying on their memory and experience and by being generally resilient to issues they encounter"
A100,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,"Visually-impaired programmers today achieve this using screen readers and tactile displays, but these tools did not completely remove barriers to making professional computing truly accessible [4]."
A61,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,"While being a text- and keyboard-based interface contributes to improved accessibility compared to graphical user interfaces, this does not necessarily translate into a completely accessible user experience. For instance, being text-based and keyboard operable would meet only a small subset of the WCAG [5] criteria"
A114,Blind and/or Visual Impaired,Assistive Technology related,Technologically Limited,,"Unfortunately, blind programmers have no way to skim code that is presented on the web. The accessibility is comparable to that of a primitive text editor."
A533,General,Companies inability to deal with PwD,Lack of inclusion policies,,(2) a lack of accountability towards disabled workers in atypical employment
