Paper,Community of Focus,Code,Citation
A65,Blind and/or Visual Impaired,Democratize the Web,"Given their widespread use and the advantages they offer, UI frameworks and libraries can have an outsized effect on the accessibility of UI programming and the web"
A79,Blind and/or Visual Impaired,Democratize the Web,"this work will contribute to an increase in blind people’s participation in web development and adjacent fields, and ultimately, the accessibility and democratization of the web."
A3,Blind and/or Visual Impaired,Social and Economic Inequities,"The opportunities aforded by programming skills may be particularly important for people with visual impairments (PWVI), who currently experience signifcant economic inequities."
A241,Blind and/or Visual Impaired,Social and Economic Inequities,"This position to workforce mismatch may create opportunities for blind or visually impaired (BVI) persons who, due to the nature of their disability, have not necessarily been previously considered as candidates for these arguably visually demanding positions"
A463,Blind and/or Visual Impaired,Social and Economic Inequities,The steady increase in lucrative programming job opportunities has the potential to positively impact the aspirations and social mobility of programmers with visual impairments.
A533,Neurodivergent,Social and Economic Inequities,"In addition to being a profession of choice for many, for some disabled developers app development may also be one of the limited sources of income available to them, as it comes with fewer structural challenges and allows for self-directed work"
A577,Neurodivergent,Social and Economic Inequities,"For adults with milder forms of ASD (such as Asperger’s Syndrome), finding appropriate employment may be a challenge; many people with ASD are unemployed or underemployed [5], or face discrimination within their workplace [4]"
A463,Blind and/or Visual Impaired,Social and Economic Inequities,"This is a small and unsurprising number—people with visual impairments face systemic barriers to employment [15, 58], are less likely to pursue higher education [1], and are less likely to be employed than sighted people [15]."
A533,Neurodivergent,Social and Economic Inequities,"This is a sizeable group and suffices to support the case for investigating current policies with regard to the protection of disabled workers in the Digital Economy, who are not protected through the course of ordinary employment"
A533,Neurodivergent,Social and Economic Inequities,The case of disabled app developers provides a significant example of how the current regulatory framework fails to be inclusive in its attempts to protect the rights of disabled Digital Economy workers.
A533,Neurodivergent,Social and Economic Inequities,"Where work is done outside traditional employment settings, for instance, through freelancing or self-employment, no procedure for recording a disability status is in place, because such (recording) duties are typically part of employment regulations."
A64,Blind and/or Visual Impaired,Increase PwD representation in Software Development,"""Improving the accessibility of these design tools also improves opportunities for blind and low vision designers to engage in UI/UX design work."""
A65,Blind and/or Visual Impaired,Increase PwD representation in Software Development,The consistent growth of UI developer job roles [6]–[8] also highlights the need to understand and improve the accessibility of the field to make it more inclusive.
A79,Blind and/or Visual Impaired,Increase PwD representation in Software Development,"this work will contribute to an increase in blind people’s participation in web development and adjacent fields, and ultimately, the accessibility and democratization of the web."
A147,Blind and/or Visual Impaired,Increase PwD representation in Software Development,"These difficulties are a major socio-technical barrier to blind developers reaching their full potential in the computing field and to social and professional participation. From the perspective of the social model [10], which recognizes that an individual’s disability may stem from structures and cultures that sociotechnically limit their access rather than from physical, sensory, cognitive, or emotional issues, we can see that IDE accessibility issues are no longer a group-specifc problem that blind people must endure, but a collective task for the technology community to reduce barriers together."
A242,Blind and/or Visual Impaired,Increase PwD representation in Software Development,"With improved accessibility to source code, not only would more people with visual impairments be able to participate in programming"
A8,Blind and/or Visual Impaired,Promote the inclusion of PwD in the Workplace,"Finally, it is our sincere hope that increased understanding of how blind persons understand code will help employers integrate the blind into the workplace"
A144,Blind and/or Visual Impaired,Promote the inclusion of PwD in the Workplace,"Productivity increases will likely render blind programmers more competitive in the workplace, where reading and comprehending someone else’s code is a constant demand."
A146,Blind and/or Visual Impaired,Promote the inclusion of PwD in the Workplace,"Prior to our work, no programming environment with accessible, remote, synchronous co-editing support was publicly available. We have created and released such an environment, in accordance with four design criteria (see §2.4), which include maintaining the agency of BVI developers and reducing their burden to drive the collaboration."
A241,Blind and/or Visual Impaired,Promote the inclusion of PwD in the Workplace,"Despite these advances there are known challenges and largely unknown obstacles that impact the productivity of BVI programmers and how they collaborate with members of their development team [2]–[4]
There is a need to investigate how the constraints of their work environment, coupled with the challenges of their visual impairment, may affect how they contribute as members of development teams."
A379,(Other) Blind-Deaf,Promote the inclusion of PwD in the Workplace,The interoperability of collaborative workplace systems with assistive technologies for deaf-blind users is limited to screenreaders used with refreshable braille displays [3]. How can a deaf-blind person collaborate with coworkers in real time?
A478,Blind and/or Visual Impaired,Promote the inclusion of PwD in the Workplace,"Os trabalhos coletados apenas apresentam um teor geral sobre a discussão, demonstrando aspectos humanos e sociais, mercado de trabalho ou academia, para pessoas portadoras de deficiência na área de tecnologia. O que motivou este trabalho, com o cunho de fomentar o debate sobre este cenário, além de propor melhorias nas práticas identificadas na literatura, para auxiliar portadores de deficiência a exercerem suas atividades dentro do setor de desenvolvimento de software."
A577,Neurodivergent,Promote the inclusion of PwD in the Workplace,"For adults with milder forms of ASD (such as Asperger’s Syndrome), finding appropriate employment may be a challenge; many people with ASD are unemployed or underemployed [5], or face discrimination within their workplace [4]"
A579,Blind and/or Visual Impaired,Promote the inclusion of PwD in the Workplace,"Some of the questions that arise from this situation involve how to integrate blind developers into sighted teams, how to manage and communicate project progress to them and how to make them feel useful in software construction"
A114,Blind and/or Visual Impaired,Promote the inclusion of PwD in the Workplace,We hope that AudioHighlight increases the productivity of blind programmers by allowing them to better skim a piece of code.
A478,Blind and/or Visual Impaired,Promote the inclusion of PwD in the Workplace,"O papel do portador de deficiência dentro da Engenharia de Software, como desenvolvedor, como líder, como parte de um time, não pode ser definido pelas suas limitações"
A577,Neurodivergent,Promote the inclusion of PwD in the Workplace,"if more companies wish to follow the lead of SAP and Microsoft  and actively recruit people known to have ASD into their  workforce, it is important to understand whether such  employees face unique challenges in achieving success in computing careers."
